votes	first	second	third
1	JEFFREY ALAN WAGNER	CYD GORMAN	DON SAMUELS
1	JEFFREY ALAN WAGNER	CAPTAIN JACK SPARROW	JOHN CHARLES WILSON
1	JEFFREY ALAN WAGNER	CAPTAIN JACK SPARROW	"ABDUL M RAHAMAN ""THE ROCK"""
1	JEFFREY ALAN WAGNER	CAM WINTON	undervote
1	JEFFREY ALAN WAGNER	CAM WINTON	DAN COHEN
1	JEFFREY ALAN WAGNER	BOB FINE	TONY LANE
1	JEFFREY ALAN WAGNER	BOB FINE	CAPTAIN JACK SPARROW
1	JEFFREY ALAN WAGNER	BOB FINE	BETSY HODGES
1	JEFFREY ALAN WAGNER	BETSY HODGES	MARK V ANDERSON
1	JEFFREY ALAN WAGNER	BETSY HODGES	JAMES EVERETT
1	JEFFREY ALAN WAGNER	BETSY HODGES	JACKIE CHERRYHOMES
1	JEFFREY ALAN WAGNER	BETSY HODGES	DAN COHEN
1	JEFFREY ALAN WAGNER	BETSY HODGES	CAPTAIN JACK SPARROW
1	JEFFREY ALAN WAGNER	ALICIA K. BENNETT	MIKE GOULD
1	JEFFREY ALAN WAGNER	ALICIA K. BENNETT	JEFFREY ALAN WAGNER
1	JEFFREY ALAN WAGNER	ALICIA K. BENNETT	JACKIE CHERRYHOMES
1	JEFFREY ALAN WAGNER	ALICIA K. BENNETT	DON SAMUELS
1	JEFFREY ALAN WAGNER	"ABDUL M RAHAMAN ""THE ROCK"""	CAPTAIN JACK SPARROW
1	JAYMIE KELLY	UWI	UWI
1	JAYMIE KELLY	UWI	KURTIS W. HANNA
1	JAYMIE KELLY	TROY BENJEGERDES	undervote
1	JAYMIE KELLY	TROY BENJEGERDES	JAMES EVERETT
1	JAYMIE KELLY	TONY LANE	MIKE GOULD
1	JAYMIE KELLY	TONY LANE	MARK ANDREW
1	JAYMIE KELLY	TONY LANE	JOSHUA REA
1	JAYMIE KELLY	TONY LANE	DON SAMUELS
1	JAYMIE KELLY	TONY LANE	BOB FINE
1	JAYMIE KELLY	STEPHANIE WOODRUFF	BOB FINE
1	JAYMIE KELLY	RAHN V. WORKCUFF	JAMES EVERETT
1	JAYMIE KELLY	OLE SAVIOR	BILL KAHN
1	JAYMIE KELLY	NEAL BAXTER	MIKE GOULD
1	JAYMIE KELLY	NEAL BAXTER	CHRISTOPHER ROBIN ZIMMERMAN
1	JAYMIE KELLY	NEAL BAXTER	BETSY HODGES
1	JAYMIE KELLY	MIKE GOULD	DON SAMUELS
1	JAYMIE KELLY	MERRILL ANDERSON	CYD GORMAN
1	JAYMIE KELLY	MERRILL ANDERSON	CHRISTOPHER ROBIN ZIMMERMAN
1	JAYMIE KELLY	MARK V ANDERSON	TROY BENJEGERDES
1	JAYMIE KELLY	MARK V ANDERSON	DAN COHEN
1	JAYMIE KELLY	MARK V ANDERSON	CYD GORMAN
1	JAYMIE KELLY	MARK ANDREW	DAN COHEN
1	JAYMIE KELLY	MARK ANDREW	CAPTAIN JACK SPARROW
1	JAYMIE KELLY	KURTIS W. HANNA	JAMES EVERETT
1	JAYMIE KELLY	KURTIS W. HANNA	CAPTAIN JACK SPARROW
1	JAYMIE KELLY	JOSHUA REA	TROY BENJEGERDES
1	JAYMIE KELLY	JOSHUA REA	DAN COHEN
1	JAYMIE KELLY	JOHN LESLIE HARTWIG	NEAL BAXTER
1	JAYMIE KELLY	JOHN CHARLES WILSON	BETSY HODGES
1	JAYMIE KELLY	JAMES EVERETT	MARK ANDREW
1	JAYMIE KELLY	JACKIE CHERRYHOMES	undervote
1	JAYMIE KELLY	JACKIE CHERRYHOMES	MARK ANDREW
1	JAYMIE KELLY	JACKIE CHERRYHOMES	DAN COHEN
1	JAYMIE KELLY	GREGG A. IVERSON	JACKIE CHERRYHOMES
1	JAYMIE KELLY	DOUG MANN	TROY BENJEGERDES
1	JAYMIE KELLY	DOUG MANN	MIKE GOULD
1	JAYMIE KELLY	DOUG MANN	MARK V ANDERSON
1	JAYMIE KELLY	DOUG MANN	MARK ANDREW
1	JAYMIE KELLY	DOUG MANN	JOSHUA REA
1	JAYMIE KELLY	DOUG MANN	JOHN CHARLES WILSON
1	JAYMIE KELLY	DOUG MANN	DAN COHEN
1	JAYMIE KELLY	DOUG MANN	BOB FINE
1	JAYMIE KELLY	DON SAMUELS	MERRILL ANDERSON
1	JAYMIE KELLY	DON SAMUELS	DAN COHEN
1	JAYMIE KELLY	DAN COHEN	JOSHUA REA
1	JAYMIE KELLY	DAN COHEN	JACKIE CHERRYHOMES
1	JAYMIE KELLY	DAN COHEN	CAPTAIN JACK SPARROW
1	JAYMIE KELLY	DAN COHEN	CAM WINTON
1	JAYMIE KELLY	DAN COHEN	BOB FINE
1	JAYMIE KELLY	CYD GORMAN	TROY BENJEGERDES
1	JAYMIE KELLY	CYD GORMAN	MERRILL ANDERSON
1	JAYMIE KELLY	CYD GORMAN	BETSY HODGES
1	JAYMIE KELLY	CHRISTOPHER ROBIN ZIMMERMAN	MERRILL ANDERSON
1	JAYMIE KELLY	CAPTAIN JACK SPARROW	MIKE GOULD
1	JAYMIE KELLY	CAPTAIN JACK SPARROW	BOB FINE
1	JAYMIE KELLY	CAPTAIN JACK SPARROW	ALICIA K. BENNETT
1	JAYMIE KELLY	CAM WINTON	undervote
1	JAYMIE KELLY	CAM WINTON	MERRILL ANDERSON
1	JAYMIE KELLY	CAM WINTON	KURTIS W. HANNA
1	JAYMIE KELLY	BOB FINE	UWI
1	JAYMIE KELLY	BOB FINE	JACKIE CHERRYHOMES
1	JAYMIE KELLY	BILL KAHN	JACKIE CHERRYHOMES
1	JAYMIE KELLY	BETSY HODGES	UWI
1	JAYMIE KELLY	BETSY HODGES	TONY LANE
1	JAYMIE KELLY	BETSY HODGES	DAN COHEN
1	JAYMIE KELLY	BETSY HODGES	CAM WINTON
1	JAYMIE KELLY	BETSY HODGES	BOB FINE
1	JAYMIE KELLY	BETSY HODGES	BETSY HODGES
1	JAYMIE KELLY	ALICIA K. BENNETT	KURTIS W. HANNA
1	JAYMIE KELLY	ALICIA K. BENNETT	JAYMIE KELLY
1	JAYMIE KELLY	ALICIA K. BENNETT	CAPTAIN JACK SPARROW
1	JAYMIE KELLY	"ABDUL M RAHAMAN ""THE ROCK"""	CAPTAIN JACK SPARROW
1	JAMES EVERETT	TROY BENJEGERDES	TONY LANE
1	JAMES EVERETT	TROY BENJEGERDES	MERRILL ANDERSON
1	JAMES EVERETT	TROY BENJEGERDES	MARK ANDREW
1	JAMES EVERETT	TONY LANE	TROY BENJEGERDES
1	JAMES EVERETT	TONY LANE	MARK ANDREW
1	JAMES EVERETT	TONY LANE	JOSHUA REA
1	JAMES EVERETT	TONY LANE	JOHN CHARLES WILSON
1	JAMES EVERETT	TONY LANE	DAN COHEN
1	JAMES EVERETT	TONY LANE	CAPTAIN JACK SPARROW
1	JAMES EVERETT	TONY LANE	BOB FINE
1	JAMES EVERETT	STEPHANIE WOODRUFF	STEPHANIE WOODRUFF
1	JAMES EVERETT	STEPHANIE WOODRUFF	MARK ANDREW
1	JAMES EVERETT	STEPHANIE WOODRUFF	JOSHUA REA
1	JAMES EVERETT	STEPHANIE WOODRUFF	JAMES EVERETT
1	JAMES EVERETT	STEPHANIE WOODRUFF	CAPTAIN JACK SPARROW
1	JAMES EVERETT	STEPHANIE WOODRUFF	ALICIA K. BENNETT
1	JAMES EVERETT	RAHN V. WORKCUFF	GREGG A. IVERSON
1	JAMES EVERETT	RAHN V. WORKCUFF	DOUG MANN
1	JAMES EVERETT	NEAL BAXTER	MARK V ANDERSON
1	JAMES EVERETT	MIKE GOULD	MARK ANDREW
1	JAMES EVERETT	MERRILL ANDERSON	DOUG MANN
1	JAMES EVERETT	MERRILL ANDERSON	DAN COHEN
1	JAMES EVERETT	MERRILL ANDERSON	"ABDUL M RAHAMAN ""THE ROCK"""
1	JAMES EVERETT	MARK V ANDERSON	OLE SAVIOR
1	JAMES EVERETT	MARK V ANDERSON	DOUG MANN
1	JAMES EVERETT	MARK V ANDERSON	DAN COHEN
1	JAMES EVERETT	MARK ANDREW	undervote
1	JAMES EVERETT	MARK ANDREW	TONY LANE
1	JAMES EVERETT	MARK ANDREW	OLE SAVIOR
1	JAMES EVERETT	MARK ANDREW	KURTIS W. HANNA
1	JAMES EVERETT	MARK ANDREW	JEFFREY ALAN WAGNER
1	JAMES EVERETT	MARK ANDREW	JAYMIE KELLY
1	JAMES EVERETT	MARK ANDREW	JAMES EVERETT
1	JAMES EVERETT	MARK ANDREW	BOB FINE
1	JAMES EVERETT	KURTIS W. HANNA	MARK ANDREW
1	JAMES EVERETT	KURTIS W. HANNA	JOSHUA REA
1	JAMES EVERETT	KURTIS W. HANNA	DON SAMUELS
1	JAMES EVERETT	KURTIS W. HANNA	DAN COHEN
1	JAMES EVERETT	KURTIS W. HANNA	CHRISTOPHER ROBIN ZIMMERMAN
1	JAMES EVERETT	JOSHUA REA	MARK V ANDERSON
1	JAMES EVERETT	JOSHUA REA	DOUG MANN
1	JAMES EVERETT	JOSHUA REA	BETSY HODGES
1	JAMES EVERETT	JOHN CHARLES WILSON	DOUG MANN
1	JAMES EVERETT	JAYMIE KELLY	MERRILL ANDERSON
1	JAMES EVERETT	JAYMIE KELLY	MARK ANDREW
1	JAMES EVERETT	JAYMIE KELLY	KURTIS W. HANNA
1	JAMES EVERETT	JAYMIE KELLY	DOUG MANN
1	JAMES EVERETT	JAYMIE KELLY	CAPTAIN JACK SPARROW
1	JAMES EVERETT	JAMES EVERETT	undervote
1	JAMES EVERETT	JAMES EVERETT	GREGG A. IVERSON
1	JAMES EVERETT	JAMES EVERETT	DOUG MANN
1	JAMES EVERETT	JACKIE CHERRYHOMES	MARK V ANDERSON
1	JAMES EVERETT	JACKIE CHERRYHOMES	JAMES EVERETT
1	JAMES EVERETT	JACKIE CHERRYHOMES	"BOB ""AGAIN"" CARNEY JR"
1	JAMES EVERETT	JACKIE CHERRYHOMES	"ABDUL M RAHAMAN ""THE ROCK"""
1	JAMES EVERETT	GREGG A. IVERSON	BOB FINE
1	JAMES EVERETT	DOUG MANN	UWI
1	JAMES EVERETT	DOUG MANN	MERRILL ANDERSON
1	JAMES EVERETT	DOUG MANN	MARK V ANDERSON
1	JAMES EVERETT	DOUG MANN	JOSHUA REA
1	JAMES EVERETT	DOUG MANN	JOHN LESLIE HARTWIG
1	JAMES EVERETT	DOUG MANN	JAYMIE KELLY
1	JAMES EVERETT	DOUG MANN	JAMES EVERETT
1	JAMES EVERETT	DOUG MANN	DON SAMUELS
1	JAMES EVERETT	DOUG MANN	DAN COHEN
1	JAMES EVERETT	DOUG MANN	CHRISTOPHER ROBIN ZIMMERMAN
1	JAMES EVERETT	DOUG MANN	BOB FINE
1	JAMES EVERETT	DON SAMUELS	undervote
1	JAMES EVERETT	DON SAMUELS	TROY BENJEGERDES
1	JAMES EVERETT	DON SAMUELS	MARK V ANDERSON
1	JAMES EVERETT	DON SAMUELS	JOSHUA REA
1	JAMES EVERETT	DON SAMUELS	CAM WINTON
1	JAMES EVERETT	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"
1	JAMES EVERETT	DAN COHEN	GREGG A. IVERSON
1	JAMES EVERETT	DAN COHEN	DON SAMUELS
1	JAMES EVERETT	DAN COHEN	DAN COHEN
1	JAMES EVERETT	DAN COHEN	ALICIA K. BENNETT
1	JAMES EVERETT	CHRISTOPHER ROBIN ZIMMERMAN	TONY LANE
1	JAMES EVERETT	CHRISTOPHER ROBIN ZIMMERMAN	NEAL BAXTER
1	JAMES EVERETT	CHRISTOPHER ROBIN ZIMMERMAN	MERRILL ANDERSON
1	JAMES EVERETT	CHRISTOPHER ROBIN ZIMMERMAN	CAM WINTON
1	JAMES EVERETT	CHRISTOPHER CLARK	CHRISTOPHER CLARK
1	JAMES EVERETT	CAPTAIN JACK SPARROW	TROY BENJEGERDES
1	JAMES EVERETT	CAPTAIN JACK SPARROW	JACKIE CHERRYHOMES
1	JAMES EVERETT	CAPTAIN JACK SPARROW	DOUG MANN
1	JAMES EVERETT	CAPTAIN JACK SPARROW	BETSY HODGES
1	JAMES EVERETT	CAM WINTON	JACKIE CHERRYHOMES
1	JAMES EVERETT	CAM WINTON	DAN COHEN
1	JAMES EVERETT	CAM WINTON	CAPTAIN JACK SPARROW
1	JAMES EVERETT	CAM WINTON	BILL KAHN
1	JAMES EVERETT	CAM WINTON	BETSY HODGES
1	JAMES EVERETT	BOB FINE	TROY BENJEGERDES
1	JAMES EVERETT	BOB FINE	RAHN V. WORKCUFF
1	JAMES EVERETT	BOB FINE	DOUG MANN
1	JAMES EVERETT	BILL KAHN	JOHN LESLIE HARTWIG
1	JAMES EVERETT	BILL KAHN	GREGG A. IVERSON
1	JAMES EVERETT	BILL KAHN	DAN COHEN
1	JAMES EVERETT	BETSY HODGES	OLE SAVIOR
1	JAMES EVERETT	BETSY HODGES	"BOB ""AGAIN"" CARNEY JR"
1	JAMES EVERETT	ALICIA K. BENNETT	KURTIS W. HANNA
1	JAMES EVERETT	ALICIA K. BENNETT	JACKIE CHERRYHOMES
1	JAMES EVERETT	ALICIA K. BENNETT	DOUG MANN
1	JAMES EVERETT	ALICIA K. BENNETT	BETSY HODGES
1	JAMES EVERETT	"BOB ""AGAIN"" CARNEY JR"	RAHN V. WORKCUFF
1	JAMES EVERETT	"BOB ""AGAIN"" CARNEY JR"	MIKE GOULD
1	JAMES EVERETT	"BOB ""AGAIN"" CARNEY JR"	CHRISTOPHER CLARK
1	JAMES EVERETT	"ABDUL M RAHAMAN ""THE ROCK"""	TONY LANE
1	JAMES EVERETT	"ABDUL M RAHAMAN ""THE ROCK"""	STEPHANIE WOODRUFF
1	JAMES EVERETT	"ABDUL M RAHAMAN ""THE ROCK"""	ALICIA K. BENNETT
1	JACKIE CHERRYHOMES	undervote	overvote
1	JACKIE CHERRYHOMES	undervote	OLE SAVIOR
1	JACKIE CHERRYHOMES	undervote	JACKIE CHERRYHOMES
1	JACKIE CHERRYHOMES	undervote	DON SAMUELS
1	JACKIE CHERRYHOMES	undervote	BETSY HODGES
1	JACKIE CHERRYHOMES	overvote	overvote
1	JACKIE CHERRYHOMES	UWI	undervote
1	JACKIE CHERRYHOMES	UWI	STEPHANIE WOODRUFF
1	JACKIE CHERRYHOMES	UWI	MARK ANDREW
1	JACKIE CHERRYHOMES	TROY BENJEGERDES	MERRILL ANDERSON
1	JACKIE CHERRYHOMES	TROY BENJEGERDES	MARK V ANDERSON
1	JACKIE CHERRYHOMES	TONY LANE	DON SAMUELS
1	JACKIE CHERRYHOMES	TONY LANE	BILL KAHN
1	JACKIE CHERRYHOMES	TONY LANE	BETSY HODGES
1	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	TROY BENJEGERDES
1	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	STEPHANIE WOODRUFF
1	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	OLE SAVIOR
1	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	MARK V ANDERSON
1	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	DOUG MANN
1	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	CHRISTOPHER ROBIN ZIMMERMAN
1	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	"BOB ""AGAIN"" CARNEY JR"
1	JACKIE CHERRYHOMES	RAHN V. WORKCUFF	STEPHANIE WOODRUFF
1	JACKIE CHERRYHOMES	RAHN V. WORKCUFF	JAMES EVERETT
1	JACKIE CHERRYHOMES	RAHN V. WORKCUFF	CAPTAIN JACK SPARROW
1	JACKIE CHERRYHOMES	OLE SAVIOR	undervote
1	JACKIE CHERRYHOMES	OLE SAVIOR	RAHN V. WORKCUFF
1	JACKIE CHERRYHOMES	OLE SAVIOR	DAN COHEN
1	JACKIE CHERRYHOMES	NEAL BAXTER	DON SAMUELS
1	JACKIE CHERRYHOMES	NEAL BAXTER	BETSY HODGES
1	JACKIE CHERRYHOMES	MIKE GOULD	STEPHANIE WOODRUFF
1	JACKIE CHERRYHOMES	MIKE GOULD	MARK V ANDERSON
1	JACKIE CHERRYHOMES	MIKE GOULD	JOSHUA REA
1	JACKIE CHERRYHOMES	MIKE GOULD	GREGG A. IVERSON
1	JACKIE CHERRYHOMES	MIKE GOULD	DON SAMUELS
1	JACKIE CHERRYHOMES	MIKE GOULD	BETSY HODGES
1	JACKIE CHERRYHOMES	MIKE GOULD	ALICIA K. BENNETT
1	JACKIE CHERRYHOMES	MERRILL ANDERSON	undervote
1	JACKIE CHERRYHOMES	MERRILL ANDERSON	KURTIS W. HANNA
1	JACKIE CHERRYHOMES	MERRILL ANDERSON	DOUG MANN
1	JACKIE CHERRYHOMES	MERRILL ANDERSON	DON SAMUELS
1	JACKIE CHERRYHOMES	MERRILL ANDERSON	CHRISTOPHER ROBIN ZIMMERMAN
1	JACKIE CHERRYHOMES	MERRILL ANDERSON	BOB FINE
1	JACKIE CHERRYHOMES	MERRILL ANDERSON	BILL KAHN
1	JACKIE CHERRYHOMES	MERRILL ANDERSON	BETSY HODGES
1	JACKIE CHERRYHOMES	MARK V ANDERSON	TONY LANE
1	JACKIE CHERRYHOMES	MARK V ANDERSON	OLE SAVIOR
1	JACKIE CHERRYHOMES	MARK V ANDERSON	MIKE GOULD
1	JACKIE CHERRYHOMES	MARK V ANDERSON	MERRILL ANDERSON
1	JACKIE CHERRYHOMES	MARK V ANDERSON	MARK V ANDERSON
1	JACKIE CHERRYHOMES	MARK V ANDERSON	JOSHUA REA
1	JACKIE CHERRYHOMES	MARK V ANDERSON	JEFFREY ALAN WAGNER
1	JACKIE CHERRYHOMES	MARK V ANDERSON	JACKIE CHERRYHOMES
1	JACKIE CHERRYHOMES	MARK V ANDERSON	DOUG MANN
1	JACKIE CHERRYHOMES	MARK V ANDERSON	CYD GORMAN
1	JACKIE CHERRYHOMES	MARK V ANDERSON	CAPTAIN JACK SPARROW
1	JACKIE CHERRYHOMES	MARK V ANDERSON	BILL KAHN
1	JACKIE CHERRYHOMES	MARK V ANDERSON	"BOB ""AGAIN"" CARNEY JR"
1	JACKIE CHERRYHOMES	MARK ANDREW	RAHN V. WORKCUFF
1	JACKIE CHERRYHOMES	MARK ANDREW	MERRILL ANDERSON
1	JACKIE CHERRYHOMES	MARK ANDREW	EDMUND BERNARD BRUYERE
1	JACKIE CHERRYHOMES	MARK ANDREW	BILL KAHN
1	JACKIE CHERRYHOMES	MARK ANDREW	"BOB ""AGAIN"" CARNEY JR"
1	JACKIE CHERRYHOMES	KURTIS W. HANNA	TROY BENJEGERDES
1	JACKIE CHERRYHOMES	KURTIS W. HANNA	MARK ANDREW
1	JACKIE CHERRYHOMES	KURTIS W. HANNA	DON SAMUELS
1	JACKIE CHERRYHOMES	KURTIS W. HANNA	CAPTAIN JACK SPARROW
1	JACKIE CHERRYHOMES	JOSHUA REA	undervote
1	JACKIE CHERRYHOMES	JOSHUA REA	JEFFREY ALAN WAGNER
1	JACKIE CHERRYHOMES	JOSHUA REA	JACKIE CHERRYHOMES
1	JACKIE CHERRYHOMES	JOSHUA REA	DOUG MANN
1	JACKIE CHERRYHOMES	JOSHUA REA	BOB FINE
1	JACKIE CHERRYHOMES	JOSHUA REA	BETSY HODGES
1	JACKIE CHERRYHOMES	JOHN LESLIE HARTWIG	JEFFREY ALAN WAGNER
1	JACKIE CHERRYHOMES	JOHN LESLIE HARTWIG	BOB FINE
1	JACKIE CHERRYHOMES	JOHN CHARLES WILSON	STEPHANIE WOODRUFF
1	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER	MIKE GOULD
1	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER	KURTIS W. HANNA
1	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER	GREGG A. IVERSON
1	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER	DOUG MANN
1	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER	CAPTAIN JACK SPARROW
1	JACKIE CHERRYHOMES	JAYMIE KELLY	OLE SAVIOR
1	JACKIE CHERRYHOMES	JAYMIE KELLY	MIKE GOULD
1	JACKIE CHERRYHOMES	JAYMIE KELLY	JOSHUA REA
1	JACKIE CHERRYHOMES	JAYMIE KELLY	DOUG MANN
1	JACKIE CHERRYHOMES	JAYMIE KELLY	BOB FINE
1	JACKIE CHERRYHOMES	JAYMIE KELLY	ALICIA K. BENNETT
1	JACKIE CHERRYHOMES	JAMES EVERETT	undervote
1	JACKIE CHERRYHOMES	JAMES EVERETT	OLE SAVIOR
1	JACKIE CHERRYHOMES	JAMES EVERETT	CAM WINTON
1	JACKIE CHERRYHOMES	JAMES EVERETT	BOB FINE
1	JACKIE CHERRYHOMES	JACKIE CHERRYHOMES	MARK V ANDERSON
1	JACKIE CHERRYHOMES	JACKIE CHERRYHOMES	MARK ANDREW
1	JACKIE CHERRYHOMES	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER
1	JACKIE CHERRYHOMES	JACKIE CHERRYHOMES	JAMES EVERETT
1	JACKIE CHERRYHOMES	GREGG A. IVERSON	undervote
1	JACKIE CHERRYHOMES	GREGG A. IVERSON	TONY LANE
1	JACKIE CHERRYHOMES	GREGG A. IVERSON	MIKE GOULD
1	JACKIE CHERRYHOMES	GREGG A. IVERSON	JAYMIE KELLY
1	JACKIE CHERRYHOMES	GREGG A. IVERSON	GREGG A. IVERSON
1	JACKIE CHERRYHOMES	GREGG A. IVERSON	DAN COHEN
1	JACKIE CHERRYHOMES	GREGG A. IVERSON	BETSY HODGES
1	JACKIE CHERRYHOMES	EDMUND BERNARD BRUYERE	GREGG A. IVERSON
1	JACKIE CHERRYHOMES	DOUG MANN	TONY LANE
1	JACKIE CHERRYHOMES	DOUG MANN	JEFFREY ALAN WAGNER
1	JACKIE CHERRYHOMES	DOUG MANN	GREGG A. IVERSON
1	JACKIE CHERRYHOMES	DOUG MANN	DON SAMUELS
1	JACKIE CHERRYHOMES	DOUG MANN	CYD GORMAN
1	JACKIE CHERRYHOMES	DOUG MANN	CHRISTOPHER ROBIN ZIMMERMAN
1	JACKIE CHERRYHOMES	DOUG MANN	CAM WINTON
1	JACKIE CHERRYHOMES	DOUG MANN	BOB FINE
1	JACKIE CHERRYHOMES	DOUG MANN	"BOB ""AGAIN"" CARNEY JR"
